track_id,cover_downloaded,preview_downloaded
1FBi1YWCAxlRmfuUbMINqO,true,true
3q2aVABxuztNi3iS6h6qdB,true,true
3V8UKqhEK5zBkBb6d6ub8i,true,true
3G6hD9B2ZHOsgf4WfNu7X1,true,true
4r1AqGpB9YrXV2ivcrqfJY,true,true
2VlLbhGLVJgdOW7kKdWWFc,true,true
2nMeu6UenVvwUktBCpLMK9,true,true
2lnzGkdtDj5mtlcOW2yRtG,true,true
17js0w8GTkTUFGFM6PYvBd,true,true
03f7xZmt2wHCIDJBFPK8G4,true,true
3skn2lauGk7Dx6bVIt5DVj,true,true
6qNB2ChCVPepl5ZjVJJTUW,true,true
56Ta1O7Jxxpjnc6cWdDKUo,true,true
5aJ1M43pinROpwaPnO8KRj,true,true
7yBbV2k2S2uhaQc24NF2xt,true,true
2ewSCWOL7EAjgmgqfI1UlS,true,true
4f6bE40jl7zuFJ3cOCwaI1,true,true
7fSM2taFBEB1WNZl8AOIoo,true,true
7gDNQLV9cr8449LFrQbk5J,true,true
5Jwcv2Le3Klwgrgyqa12ZA,true,true
6B8MM3PVQtUbZLay7tP7er,true,true
52kcarcX0FQ6wPulXm2bMJ,true,true
59CfNbkERJ3NoTXDvoURjj,true,true
68eDGmSTQgxJde9JTG7b71,true,true
0qyofIr6dHSb8AcEVnywBY,true,true
2Xy1UIVfOlukyye6Fd0wrI,true,true
0aE3V0zgSD2YwkEHW42gxG,true,true
2xCGBWfzTe8l2kvHpgvB6M,true,true
2e4jB31WcGsxKL1ByqdZCq,true,true
0r8iDf65NHgFgZOGLwj5r8,true,true
3muBQDekYAg7jm6hDu6R0Z,true,true
4wNIkl5XGiAACjFBlDWuSd,true,true
1z9kQ14XBSN0r2v6fx4IdG,true,true
2R4AlwtrrkMaRKojcTIzmL,true,true
6dgUya35uo964z7GZXM07g,true,true
2GlV9w8oHSQdiPPk9lxqlp,true,true
6jkEAxBnX2PVchKYH9Y46D,true,true
7H3ojI1BsVy0dEJENqMt1k,true,true
4vuVzf7BIZhDAFm3TB0Tzy,true,true
3ekNuTF3UpOvIZCfiejpnC,true,true
79MlVxKj43tDISSISiVHJM,true,true
4ltqfN12ohaVZdM6C45gMg,true,true
2RSHsoi04658QL5xgQVov3,true,true
4iwjEJYExvmBM5w75RTuLv,true,true
1Fhb9iJPufNMZSwupsXiRe,true,true
29JrmE89KgRyCxBIzq2Ocw,true,true
2BuJrxYKhYky20dQqTlobO,true,true
4vjvx7Zxkb4AltGcZ0BBvI,true,true
5sUjBX08aJ1XdMw7p2SXgq,true,true
0JAZWvvqttGFm4UMDsPQXC,true,true
6ydWxkzjDktHsTzvWcaZ1i,true,true
7B3z0ySL9Rr0XvZEAjWZzM,true,true
3afkJSKX0EAMsJXTZnDXXJ,true,true
3lUOzabhWYyRImRszpJGOU,true,true
6gU9OKjOE7ghfEd55oRO57,true,true
5E4mQ2mXblbeuI4tefnMZG,true,true
0mjAU3yKR1QnXnHtjGJqTM,true,true
7FHj19QQigvMH1onMYRNLn,true,true
0AoBY2Y3qs6dtGgOD6c91N,true,true
3h8uWt8HNyDNubPSEBgTPG,true,true
1QNqrsNQ1JVLEwncov3lEY,true,true
2W779g2UrRZtVdf3FcEOO1,true,true
2xLMifQCjDGFmkHkpNLD9h,true,true
67awxiNHNyjMXhVgsHuIrs,true,true
30TZy1etY3FAGBDGS58hRj,true,true
07MDkzWARZaLEdKxo6yArG,true,true
3FskQrDXcY24ur2fCvz35O,true,true
5FVd6KXrgO9B3JPmC8OPst,true,true
7j1ZJAbcm4AMBf82jIrAH3,true,true
02qcrVQ61nS94wWvLaiXGf,true,true
3GJ4hzg4lrGwU51Y3VARbF,true,true
6kls8cSlUyHW2BUOkDJIZE,true,true
0lYBSQXN6rCTvUZvg9S0lU,true,true
1zd35Y44Blc1CwwVbW3Qnk,true,true
6HJxxqHWMdidwTVZmZWeHU,true,true
68vgtRHr7iZHpzGpon6Jlo,true,true
4nK5YrxbMGZstTLbvj6Gxw,true,true
6zegtH6XXd2PDPLvy1Y0n2,true,true
44U6wTQDkos958gqTbilSw,true,true
0Oe49j06Bjrxs8PltuVeaW,true,true
2auNjgM4xIOANxtZT4Xe9z,true,true
3cjvqsvvU80g7WJPMVh8iq,true,true
3H3r2nKWa3Yk5gt8xgmsEt,true,true
2igwFfvr1OAGX9SKDCPBwO,true,true
2ehLKvUsJq3EUAPpvT5GOM,true,true
0NmuYnjETG3u3qx0OmEJev,true,true
4qbibbQ1yK0rPl0JUJS0bz,true,true
5BSclXJTa9B0iURhUjZo50,true,true
2BHj31ufdEqVK5CkYDp9mA,true,true
3GGOKTfxgyluPvAFnB30zE,true,true
6NT4RZ6CF6qFJqslGdqaRM,true,true
1vcJdUJDM2NVXBsGncmLyh,true,true
6mQLN3zRtAp6ovjusyYKrV,true,true
5WGTBzRLbjj0Sm3Br8X1rI,true,true
4a0sqvCBo7aRIS4GzBQpnp,true,true
4cxQWmXmmbFoWvV8qipQTe,true,true
5JycxhApZmzbA4xSwvqh6k,true,true
3nqQXoyQOWXiESFLlDF1hG,true,true
2S6z7NH6jUhPlq0pBQNLuV,true,true
0rIAC4PXANcKmitJfoqmVm,true,true
42LY6qYxu3L6nJ7Dt72gNy,true,true
2FkbeqpCrjjDdVH1SZgDo6,true,true
7EQGXaVSyEDsCWKmUcfpLk,true,true
1PckUlxKqWQs3RlWXVBLw3,true,true
1jzIJcHCXneHw7ojC6LXiF,true,true
03tqyYWC9Um2ZqU0ZN849H,true,true
39ujbBjTwwqUFySaCYDMMT,true,true
45bE4HXI0AwGZXfZtMp8JR,true,true
2LGdO5MtFdyphi2EihANZG,true,true
1ixNEKbIZTTZ5LIz3rr9jD,true,true
1mMLMZYXkMueg65jRRWG1l,true,true
77kye8TttXpEbvgoiVjZdo,true,true
1TytykMo9zFzNdRbqTxfep,true,true
0V6NB0qBW7Vvm7RuSoHszG,true,true
4viFAHmivkYQKkwLvwKOgg,true,true
3LkWdvgrJtFuM0ZoXKPlpH,true,true
0aIW3ekrhK1eh3BYCh11op,true,true
5jzX4dWVQeBTtfBaXnMRt5,true,true
1u7J5sEfgOVRt5bkfU2oGV,true,true
0Y0TOsE1q11qgbi7c5WZsG,true,true
0Rx0DJI556Ix5gBny6EWmn,true,true
3rfhI32Il2hVRKDkuGeeen,true,true
5EaVikAxSRponyifRP6Fhp,true,false
6PDlkWmrq2ZKiUuFt2aQsH,true,true
6Dy1jexKYriXAVG6evyUTJ,true,true
5UPpgOKi0UQMMMSzWWgJJe,true,true
3LgWsmilsrWXiPYQFRD0T7,true,true
5nVE45ithgyVocZp5XLAk6,true,true
5rgrBsAFYMun6yhtnLKRPz,true,true
496GZe7MxLloHgUQTmY2Ch,true,true
3TfDUStpnEVIlsNlgcKQgJ,true,true
7CHi4DtfK4heMlQaudCuHK,true,true
3dbLT62Cvs46Ju7a8gpr36,true,true
4AULw1VRyJP17zMvwgTIUs,true,true
3ts6xK5GzfMAAriT9AIBmP,true,true
2TR7A4ulH9R1PNwMyd8o8U,true,true
5vTPxzm4h2bY9rYyVrGEU5,true,true
1dyxS3YzBbL0t8rEVwVQ1K,true,true
4gEQcoKNoLFLyhory3Y5Zr,true,true
22seP38foydqUMp5Fvkcjm,true,true
1G9hDB1bmxz131N9svQ8pY,true,true
3JvDAV3iV1KH0EmnfdU8kf,true,true
0oaY19dUwZimIgzn3ZZLZO,true,true
7d7aPD2oxuzjhOZnu4Dj23,true,true
577YBGuskWkVDCxZrLRB4v,true,true
3V1jBnDI3zCn25ONFiqwN8,true,true
5sSYvDVyP0CP9TUiqy3fuF,true,true
22WV03i2lBbwNVCE1g671p,true,true
5UlnuulVAVmmesw4VzqHdG,true,true
1jlG3KJ3gdYmhfuySFfpO1,true,true
3x4I4nRuZp5NdtGvCPw6Ms,true,true
5JlH51YDYsGj2dyEJKKjcN,true,true
6gxKUmycQX7uyMwJcweFjp,true,true
2afCBiru10AFckfOa49wIa,true,true
